Taxon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
Dantya trix	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	1	1	0	0
Nealella monothrix	0	0	0	0	1	0	0	?	0	0	1	0	0	1	*	0	1	0	0	0	0	0	0	1	0	0	1	2	1	1	1	0	0	0
Adelta theta	1	0	0	2	1	0	0	2	0	0	2	0	0	1	0	0	0	1	1	0	1	1	0	0	1	2	2	2	1	1	1	0	1	0
Alphasarsiella altrix	1	0	1	2	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	$	1	0	0	0	1	1	2	1	1	1	0	1	1
Alphasarsiella anax	1	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	2	1	1	1	0	1	1
Ancohenia hawaiiensis	1	1	1	0	1	1	1	2	0	1	1	1	2	2	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
Anscottiella crispata	1	1	0	0	1	1	0	2	1	2	1	1	2	2	1	1	1	1	0	1	1	1	0	0	1	1	2	1	0	1	1	0	1	0
Anscottiella tumidicosta	1	0	0	0	2	1	1	2	0	1	1	1	2	2	1	1	1	1	0	1	0	2	0	0	1	1	2	1	0	1	1	0	1	0
Anscottiella vertex	1	1	0	0	1	1	1	2	1	2	1	1	2	2	1	1	1	1	0	1	0	2	0	0	1	1	2	1	0	1	1	0	1	0
Chelicopia arostrata	1	1	1	1	2	1	?	2	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0
Chelicopia fax	1	1	1	1	2	1	0	1	1	2	2	1	2	2	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0
Chelicopia lorica	1	0	1	0	1	1	0	1	0	1	2	1	2	2	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0
