Taxon	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Astenocypris papyracea	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	?	?	?
Diaphanocypris meridana	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	?	?	?
Nealecypris obtusa	0	0	0	0	0	?	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0
Tanycypris siamensis n. sp	0	0	0	0	1	1	1	0	1	1	0	0	1	1	2	1	0	0	1	?	?	?
Strandesia mercatorum	1	0	1	1	1	2	1	2	1	1	0	0	1	1	2	0	1	1	0	1	1	1
Bradleycypris obliqua	1	1	1	1	1	1	1	2	0	0	0	0	1	1	2	0	1	1	0	?	?	?
Cypricercus cuneatus	1	0	1	0	1	4	1	2	1	1	0	0	1	1	2	0	1	1	1	2	0	1
Pseudostrandesia striatoreticulata	1	0	1	1	1	3	1	2	0	0	0	0	0	1	2	1	1	0	0	?	?	?
Bradleytriebella tuberculata	1	0	1	2	1	3	2	3	0	0	0	0	0	1	2	1	1	1	1	?	?	?
Bradleystrandesia reticulata	1	0	1	1	1	3	2	4	0	0	1	1	1	1	3	0	0	1	0	?	?	?
Spirocypris horrida	1	0	1	1	1	3	1	4	0	0	1	1	1	1	2	0	0	1	0	?	?	?
Bradleystrandesia fuscata	1	0	1	1	0	5	2	4	0	0	1	1	1	1	3	0	0	1	0	4	0	1
Eucypris virens	1	0	1	1	0	0	0	5	1	0	0	1	1	1	3	0	0	0	0	5	2	1
